text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
"like a fancy letter j, has like a bunch of leaves twirls",7,describer,1,FALSE,NA,359
a whole bunch of white like curly q's,7,describer,1,FALSE,NA,360
kind of like a u,7,describer,1,FALSE,NA,361
like 2 circles connected by a bar it has an x though the top one,7,describer,1,FALSE,NA,362
"like a light grey pile of dirt, its like a whole bunch of tiny little circles",7,describer,1,FALSE,NA,363
"like a white blanket, it is like crumpled",7,describer,1,FALSE,NA,364
"like a figure 8 at the bottom, kind of connected to an m",7,describer,1,FALSE,NA,365
"a black outline, it is like a big circle with a chain coming off of it",7,describer,1,FALSE,NA,366
like a pole that is slanted with 3 lines through it horizontally,7,describer,1,FALSE,NA,367
5 boxes stacked up,7,describer,1,FALSE,NA,368
4 triangles in a row,7,describer,1,FALSE,NA,369
a semicircle with spikes,7,describer,1,FALSE,NA,370
kind of like a nike swoosh,7,describer,1,FALSE,NA,371
"looks like 2 flowers, or antenna, it is like a black v it has 2 grey circles on the top",7,describer,1,FALSE,NA,372
"kind of looks like the top of a grpiano, it is light grey, it is like a rectangle",7,describer,1,FALSE,NA,373
"like a letter y on the top, a black",7,describer,1,FALSE,NA,374
maybe a face,7,describer,1,FALSE,NA,375
2 grey shapes theyre outlined in black,7,describer,1,FALSE,NA,376
"a white, almost like a white box with, it has like a sine wave in the center",7,describer,1,FALSE,NA,377
"looks like a gift tag, its like a rectangle with a pointed end",7,describer,1,FALSE,NA,378
